Time[s], Channel 0, Channel 2
124.828001000000000, 0, 1
124.926178999999991, 0, 0
124.927117999999993, 1, 0
125.014154999999988, 0, 0
125.020770999999996, 0, 1
125.112555999999998, 0, 0
125.113233999999991, 1, 0
125.203074000000001, 1, 1
125.204476999999997, 0, 1
125.290577999999996, 0, 0
125.290830999999997, 1, 0
125.386146999999994, 1, 1
125.386539999999997, 0, 1
125.474041000000000, 1, 1
125.477872999999988, 1, 0
125.565091999999993, 1, 1
125.565924999999993, 0, 1
125.661873999999997, 0, 0
125.663883999999996, 1, 0
125.757156999999992, 0, 0
125.759216999999992, 0, 1
125.846969999999999, 0, 0
125.847353999999996, 1, 0
125.941873000000001, 1, 1
125.941945999999987, 0, 1
126.037706999999997, 0, 0
126.038573000000000, 1, 0
126.133683999999988, 1, 1
126.134537999999992, 0, 1
126.238752999999988, 0, 0
126.239245999999994, 1, 0
126.316767999999996, 0, 0
126.317094999999995, 0, 1
126.404655999999989, 0, 0
126.404789999999991, 1, 0
126.499925999999988, 1, 1
126.501966999999993, 0, 1
126.591538999999997, 0, 0
126.593204999999998, 1, 0
126.687355999999994, 0, 0
126.688856000000001, 0, 1
126.781848999999994, 1, 1
126.782612999999998, 1, 0
126.865715999999992, 0, 0
126.866710999999995, 0, 1
126.966822999999991, 1, 1
126.966951999999992, 1, 0
127.053647999999995, 0, 0
127.055638999999999, 0, 1
127.152312999999992, 1, 1
127.153683999999998, 1, 0
127.236060999999992, 0, 0
127.236902000000001, 0, 1
127.343177999999995, 1, 1
127.343768999999995, 1, 0
127.426866999999987, 1, 1
127.429473999999999, 0, 1
127.520629999999997, 0, 0
127.527919999999995, 1, 0
127.614274999999992, 0, 0
127.615996999999993, 0, 1
127.705047999999991, 0, 0
127.706942999999995, 1, 0
127.795538999999991, 1, 1
127.797063999999992, 0, 1
127.887042999999991, 1, 1
127.888673999999995, 1, 0
127.986662999999993, 1, 1
127.987209999999990, 0, 1
128.080423999999994, 1, 1
128.080723000000006, 1, 0
128.172956999999997, 0, 0
128.173623999999990, 0, 1
128.271478000000002, 0, 0
128.274022000000002, 1, 0
128.356209000000007, 1, 1
128.356516999999997, 0, 1
128.459929999999986, 0, 0
128.461096999999995, 1, 0
128.542434999999983, 0, 0
128.542820000000006, 0, 1
128.644383000000005, 0, 0
128.646538999999990, 1, 0
128.726995999999986, 0, 0
128.727291000000008, 0, 1
128.823172000000000, 0, 0
128.823264999999992, 1, 0
128.916683000000006, 1, 1
128.917653999999999, 0, 1
129.004863999999998, 1, 1
129.005243000000007, 1, 0
129.102442999999994, 1, 1
129.103541000000007, 0, 1
129.198464000000001, 1, 1
129.198830999999984, 1, 0
129.289319000000006, 0, 0
129.291408999999987, 0, 1
129.374828000000008, 1, 1
129.375661000000008, 1, 0
129.463757999999984, 0, 0
129.465711999999996, 0, 1
129.563610999999980, 1, 1
129.563826000000006, 1, 0
129.656529000000006, 1, 1
129.656571999999983, 0, 1
129.746560999999986, 1, 1
129.746712000000002, 1, 0
129.846419999999995, 1, 1
129.846457999999984, 0, 1
129.934453999999988, 1, 1
129.934459000000004, 1, 0
130.025670999999988, 1, 1
130.026286999999996, 0, 1
130.120816999999988, 1, 1
130.122683999999992, 1, 0
130.296311000000003, 0, 0
130.304973999999987, 0, 1
130.307312999999994, 1, 1
130.333483000000001, 1, 0
130.396529999999984, 1, 1
130.396567000000005, 0, 1
130.488672000000008, 1, 1
130.490111999999982, 1, 0
130.584576999999996, 0, 0
130.585039999999992, 0, 1
130.677136999999988, 1, 1
130.677777999999989, 1, 0
130.775750999999985, 1, 1
130.779042000000004, 0, 1
130.861984000000007, 1, 1
130.862323000000004, 1, 0
130.954379999999986, 1, 1
130.954982000000001, 0, 1
131.045666999999980, 0, 0
131.047036999999989, 1, 0
131.146730999999988, 1, 1
131.148478999999980, 0, 1
131.235575999999980, 1, 1
131.236183999999980, 1, 0
131.325432000000006, 0, 0
131.325704999999999, 0, 1
131.421865999999994, 1, 1
131.423535999999984, 1, 0
131.513057000000003, 1, 1
131.513630000000006, 0, 1
131.604546999999997, 1, 1
131.604798999999986, 1, 0
131.695328999999987, 1, 1
131.696381000000002, 0, 1
131.793903999999998, 1, 1
131.794633000000005, 1, 0
131.883769000000001, 0, 0
131.885701999999981, 0, 1
131.984209999999990, 0, 0
131.984487999999999, 1, 0
132.082565999999986, 1, 1
132.083272999999991, 0, 1
132.246650999999986, 0, 0
132.246718999999985, 1, 0
132.261468000000008, 1, 1
132.266202999999990, 0, 1
132.343480000000000, 0, 0
132.344764999999995, 1, 0
132.444918000000001, 0, 0
132.445091999999988, 0, 1
132.534748000000008, 0, 0
132.534886000000000, 1, 0
132.624397999999985, 0, 0
132.625056000000001, 0, 1
132.721084999999988, 1, 1
132.722561999999982, 1, 0
132.813350999999983, 0, 0
132.814532999999983, 0, 1
132.903534000000008, 0, 0
132.904271999999992, 1, 0
132.996531000000004, 1, 1
132.996915999999999, 0, 1
133.096407999999997, 1, 1
133.097235999999981, 1, 0
133.182569999999998, 0, 0
133.185793999999987, 0, 1
133.286646999999988, 1, 1
133.288410999999996, 1, 0
133.371752999999984, 0, 0
133.371852999999987, 0, 1
133.464308999999986, 0, 0
133.465918999999985, 1, 0
133.559157999999996, 0, 0
133.559493000000003, 0, 1
133.651267999999988, 1, 1
133.651779000000005, 1, 0
133.744346000000007, 0, 0
133.745767999999998, 0, 1
133.834532999999993, 1, 1
133.836480999999992, 1, 0
133.925491999999991, 0, 0
133.925548999999990, 0, 1
134.021111999999988, 0, 0
134.021439999999984, 1, 0
134.118966000000000, 0, 0
134.119250999999991, 0, 1
134.205000999999982, 0, 0
134.206113999999985, 1, 0
134.301150000000007, 0, 0
134.301670000000001, 0, 1
134.394227000000001, 0, 0
134.394881999999996, 1, 0
134.484444999999994, 0, 0
134.485736000000003, 0, 1
134.577177000000006, 0, 0
134.577276999999981, 1, 0
134.669353000000001, 1, 1
134.670218000000006, 0, 1
134.764022999999980, 1, 1
134.764100999999982, 1, 0
134.854388000000000, 0, 0
134.855667999999980, 0, 1
134.953233999999981, 0, 0
134.953384999999997, 1, 0
135.044883999999996, 1, 1
135.046208000000007, 0, 1
135.139344999999992, 1, 1
135.141774999999996, 1, 0
135.226348000000002, 0, 0
135.228344999999990, 0, 1
135.325694999999996, 1, 1
135.326316999999989, 1, 0
135.414910999999989, 0, 0
135.417896999999982, 0, 1
135.510550999999992, 0, 0
135.510957999999988, 1, 0
135.600020999999998, 1, 1
135.600717000000003, 0, 1
135.692451000000005, 1, 1
135.693368999999990, 1, 0
135.782208999999995, 1, 1
135.783155999999991, 0, 1
135.873541999999986, 1, 1
135.874513000000007, 1, 0
135.975981999999988, 1, 1
135.976133000000004, 0, 1
136.063954999999993, 1, 1
136.067037999999997, 1, 0
136.162626999999986, 0, 0
136.162716999999986, 0, 1
136.251962999999989, 1, 1
136.252785999999986, 1, 0
136.343238999999983, 1, 1
136.344145999999995, 0, 1
136.433020999999997, 0, 0
136.433280999999994, 1, 0
136.529259999999994, 0, 0
136.530326000000002, 0, 1
136.623572999999993, 1, 1
136.625971999999990, 1, 0
136.713627000000002, 1, 1
136.714213000000001, 0, 1
136.803089999999997, 1, 1
136.807313999999991, 1, 0
136.904961999999983, 0, 0
136.905721000000000, 0, 1
136.992039000000005, 1, 1
136.992223999999993, 1, 0
137.086021999999986, 0, 0
137.086380999999989, 0, 1
137.177306999999985, 0, 0
137.178976000000006, 1, 0
137.276615999999990, 1, 1
137.277969999999982, 0, 1
137.362315999999993, 1, 1
